Genero,Palabra,Cantidad
Blues,INGRATA,1
Blues,YA,1
Blues,ARRULLAS,1
Blues,NIDO,1
Bolero,CUANDO,6
Bolero,Tú,46
Bolero,ESTáS,5
Bolero,CONMIGO,5
Bolero,ES,22
Bolero,YO,45
Bolero,DIGO,3
Bolero,QUE,89
Bolero,VALIó,2
Bolero,LA,32
Bolero,PENA,4
Bolero,TODO,6
Bolero,LO,12
Bolero,HE,5
Bolero,SUFRIDO,3
Bolero,NO,33
Bolero,Sé,2
Bolero,SI,15
Bolero,UN,6
Bolero,SUEñO,1
Bolero,AúN,1
Bolero,UNA,2
Bolero,REALIDAD,1
Bolero,PERO,14
Bolero,ESTOY,4
Bolero,CONTIGO,2
Bolero,ESTE,1
Bolero,AMOR,34
Bolero,SIENTO,2
Bolero,PORQUE,11
Bolero,HAS,3
Bolero,MERECIDO,1
Bolero,CON,16
Bolero,DECIRTE,1
Bolero,OTRA,3
Bolero,VEZ,1
Bolero,AMANECIDO,1
Bolero,LLORANDO,1
Bolero,DE,47
Bolero,FELICIDAD,2
Bolero,TU,26
Bolero,LADO,3
Bolero,VIVIENDO,2
Bolero,NADA,6
Bolero,COMO,8
Bolero,AYER,4
Bolero,ABRáZAME,14
Bolero,EL,50
Bolero,TIEMPO,12
Bolero,PASA,3
Bolero,éL,2
Bolero,NUNCA,5
Bolero,PERDONA,3
Bolero,HA,2
Bolero,HECHO,3
Bolero,ESTRAGOS,2
Bolero,EN,17
Bolero,MI,28
Bolero,GENTE,2
Bolero,PERSONA,2
Bolero,MALO,2
Bolero,MUY,17
Bolero,CRUEL,3
Bolero,AMIGO,2
Bolero,ORO,1
Bolero,FUERTE,6
Bolero,MáS,24
Bolero,SIEMPRE,4
Bolero,HOY,4
Bolero,ESTá,1
Bolero,PASANDO,1
Bolero,DETENIDO,1
Bolero,ASí,2
Bolero,QUIERO,12
Bolero,ESTAR,3
Bolero,POR,20
Bolero,APROVECHO,1
Bolero,TE,23
Bolero,DOY,3
Bolero,GRACIAS,3
Bolero,CADA,2
Bolero,MOMENTO,1
Bolero,VIVIR,1
Bolero,MIRES,1
Bolero,PARA,7
Bolero,CIELO,4
Bolero,ESTRELLA,1
Bolero,APAREZCA,1
Bolero,HIERE,3
Bolero,TESTIGO,1
Bolero,NADIE,5
Bolero,QUIERE,1
Bolero,ESO,6
Bolero,MANTéNME,1
Bolero,AGRADECERTE,1
Bolero,ME,25
Bolero,DADO,1
Bolero,CORRESPONDERTE,1
Bolero,FORMA,1
Bolero,DIARIO,1
Bolero,DEL,8
Bolero,DOLOR,3
Bolero,SIDO,1
Bolero,PARTIDARIO,1
Bolero,Mí,3
Bolero,TOCó,1
Bolero,SUFRIR,2
Bolero,CONFIé,1
Bolero,CREí,1
Bolero,ALGUIEN,1
Bolero,JURó,1
Bolero,DABA,1
Bolero,SU,6
Bolero,VIDA,7
Bolero,ESE,2
Bolero,SE,14
Bolero,DETIENE,1
Bolero,CONTRA,3
Bolero,VIENE,1
Bolero,DIOS,5
Bolero,NINGUNO,1
Bolero,LE,2
Bolero,IMPORTA,1
Bolero,SABER,1
Bolero,QUIéN,1
Bolero,UNO,1
Bolero,SABíA,3
Bolero,TRISTEZAS,1
Bolero,NI,5
Bolero,LáGRIMAS,1
Bolero,HICIERAN,1
Bolero,LLORAR,2
Bolero,CARICIAS,1
Bolero,TERNURA,1
Bolero,DESDE,2
Bolero,PEQUEñO,1
Bolero,ENSEñO,2
Bolero,MAMá,2
Bolero,MUCHAS,2
Bolero,COSAS,4
Bolero,JAMáS,9
Bolero,SUFRí,3
Bolero,LLORé,3
Bolero,ERA,4
Bolero,FELIZ,6
Bolero,VIVíA,5
Bolero,BIEN,3
Bolero,TAN,8
Bolero,DISTINTO,1
Bolero,ALGO,2
Bolero,HERMOSO,1
Bolero,DIVINO,3
Bolero,LLENO,1
Bolero,ALEGRíAS,1
Bolero,BELLEZA,2
Bolero,SOLEDAD,5
Bolero,HASTA,5
Bolero,CONOCí,2
Bolero,VI,2
Bolero,MIENTO,2
Bolero,FUI,2
Bolero,AUNQUE,3
Bolero,POCO,2
Bolero,TARDE,3
Bolero,COMPRENDí,2
Bolero,DEBíA,2
Bolero,AMAR,2
Bolero,AHORA,3
Bolero,PIENSO,2
Bolero,TI,3
Bolero,MUCHO,2
Bolero,ENCONTRé,1
Bolero,DIGAS,1
Bolero,HABERTE,1
Bolero,CONOCIDO,1
Bolero,CREO,1
Bolero,FUISTE,2
Bolero,MALA,2
Bolero,Sí,1
Bolero,VER,2
Bolero,VETE,7
Bolero,TODAS,3
Bolero,LAS,5
Bolero,MAñANAS,2
Bolero,ENTRA,2
Bolero,VENTANA,2
Bolero,SEñOR,4
Bolero,SOL,5
Bolero,OTRO,2
Bolero,DíA,4
Bolero,OTROS,2
Bolero,DíAS,13
Bolero,SEGUIRé,8
Bolero,TRATANDO,8
Bolero,SER,9
Bolero,MEJOR,8
Bolero,SONRIENDO,2
Bolero,HARé,2
Bolero,BUENOS,10
Bolero,ALEGRíA,2
Bolero,AL,5
Bolero,�BUENOS,1
Bolero,ERES,3
Bolero,TRISTEZA,3
Bolero,MIS,3
Bolero,OJOS,5
Bolero,LLORAN,1
Bolero,SILENCIO,1
Bolero,MIRO,1
Bolero,ESPEJO,1
Bolero,VEO,1
Bolero,ROSTRO,1
Bolero,ADIóS,1
Bolero,OBLIGO,1
Bolero,OLVIDO,3
Bolero,PENSAMIENTO,1
Bolero,PUES,1
Bolero,PENSANDO,1
Bolero,PREFIERO,1
Bolero,DORMIDA,1
Bolero,DESPIERTA,1
Bolero,TANTO,3
Bolero,DUELE,2
Bolero,ESTéS,1
Bolero,QUISERA,1
Bolero,AY,2
Bolero,VIVIERAS,1
Bolero,TUS,4
Bolero,OJITOS,1
Bolero,JAMAS,1
Bolero,HUBIERAN,1
Bolero,CERRADO,1
Bolero,MIRáNDOLOS,1
Bolero,ETERNO,1
Bolero,INOLVIDABLE,1
Bolero,TEMPRANO,1
Bolero,ESTARé,1
Bolero,SEGIR,1
Bolero,AMáNDOLOS,1
Bolero,AUSENCIA,1
Bolero,SOY,1
Bolero,TENGO,3
Bolero,TRANQUILA,1
Bolero,CONCIENCIA,1
Bolero,PUDE,1
Bolero,HABER,1
Bolero,MAS,1
Bolero,OBSCURA,1
Bolero,MISMA,3
Bolero,SEPULCRO,1
Bolero,CUAL,1
Bolero,TRISTE,2
Bolero,RECUERDO,1
Bolero,ACAPULCO,1
Bolero,UNE,3
Bolero,VOZ,6
Bolero,GRITAR,3
Bolero,TRIUNFAMOS,3
Bolero,MUNDO,1
Bolero,YA,5
Bolero,CANSó,1
Bolero,AQUí,1
Bolero,SEGUIMOS,1
Bolero,LOS,2
Bolero,DOS,1
Bolero,SIN,7
Bolero,RENUNCIAR,1
Bolero,OCULTARNOS,1
Bolero,OCULTAR,1
Bolero,NUESTRO,3
Bolero,TAPAR,1
Bolero,DEDO,1
Bolero,LUZ,2
Bolero,INMENSA,2
Bolero,NEGAR,2
Bolero,GRACIA,1
Bolero,BLANCO,1
Bolero,NEGRO,3
Bolero,NOS,2
Bolero,PUDO,2
Bolero,SEPARAR,2
Bolero,LUCHAMOS,2
Bolero,TODA,4
Bolero,INCOMPRENSIóN,2
Bolero,CUENTO,2
Bolero,HAY,3
Bolero,CONTAR,2
Bolero,FUERZA,2
Bolero,VENCIMOS,2
Bolero,PECADO,2
Bolero,EXPLICACIóN,2
Bolero,MANDATO,2
Bolero,QUEDE,4
Bolero,INFINITO,2
Bolero,ESTRELLAS,2
Bolero,PIERDA,2
Bolero,ANCHO,2
Bolero,MAR,2
Bolero,INMENSIDAD,2
Bolero,MUERA,2
Bolero,CANELA,4
Bolero,PIEL,4
Bolero,IGUAL,3
Bolero,PERDIERA,1
Bolero,ARCOíRIS,1
Bolero,FLORES,1
Bolero,PERFUME,1
Bolero,COLOR,1
Bolero,SERíA,1
Bolero,AQUELLA,1
Bolero,QUEDARME,1
Bolero,IMPORTAS,6
Bolero,SOLAMENTE,2
Bolero,NEGROS,2
Bolero,LLEGAN,2
Bolero,DESESPERAR,2
Bolero,CORAZóN,4
Bolero,ALMA,3
Bolero,SóLO,5
Bolero,PUEDO,2
Bolero,VERTE,2
Bolero,QUé,4
Bolero,HIZO,2
Bolero,QUERERTE,1
Bolero,HACERME,1
Bolero,RAZóN,1
Bolero,EXISTIR,1
Bolero,ADORARTE,1
Bolero,FUE,1
Bolero,RELIGIóN,1
Bolero,BESOS,1
Bolero,ENCONTRABA,1
Bolero,CALOR,1
Bolero,BRINDABAN,1
Bolero,PASIóN,2
Bolero,HISTORIA,4
Bolero,COMPRENDER,1
Bolero,MAL,1
Bolero,DIó,1
Bolero,APAGáNDOLA,1
Bolero,DESPUéS,2
Bolero,NOCHE,1
Bolero,OSCURA,1
Bolero,VIVIRé,1
Bolero,MATA,1
Bolero,CARITA,1
Bolero,DULCE,1
Bolero,LLANTO,2
Bolero,DERRAMAS,1
Bolero,LLENA,3
Bolero,ANGUSTIA,1
Bolero,SUFRO,1
Bolero,INDECIBLE,1
Bolero,ENTRISTECES,1
Bolero,DUDA,1
Bolero,HAGA,1
Bolero,HEMOS,1
Bolero,JURADO,1
Bolero,AMARNOS,2
Bolero,MUERTE,1
Bolero,MUERTOS,2
Bolero,AMAN,1
Bolero,MUERO,1
Bolero,PRIMERO,3
Bolero,PROMESA,1
Bolero,SOBRE,1
Bolero,CADáVER,1
Bolero,DEJAR,1
Bolero,CAER,1
Bolero,BROTE,1
Bolero,TODOS,1
Bolero,ENTEREN,1
Bolero,QUERER,1
Bolero,MUERES,2
Bolero,PROMETO,2
Bolero,ESCRIBIRé,4
Bolero,SENTIMIENTO,2
Bolero,SANGRE,4
Bolero,TINTA,2
Bolero,ÓDIAME,2
Bolero,PIEDAD,2
Bolero,PIDO,2
Bolero,ODIAME,2
Bolero,MEDIDA,2
Bolero,CLEMENCIA,2
Bolero,ODIO,2
Bolero,INDIFERENCIA,2
Bolero,RENCOR,2
Bolero,MENOS,2
Bolero,ODIAS,2
Bolero,QUEDARé,2
Bolero,CONVENCIDO,2
Bolero,AMASTE,2
Bolero,MUJER,3
Bolero,INSISTENCIA,2
Bolero,TEN,4
Bolero,PRESENTE,4
Bolero,ACUERDO,4
Bolero,EXPERIENCIA,4
Bolero,ODIA,4
Bolero,QUERIDO,4
Bolero,VALE,4
Bolero,HUMILDE,2
Bolero,ORGULLOSA,2
Bolero,DéBIL,2
Bolero,HERMOSURA,2
Bolero,PIENSA,2
Bolero,FONDO,2
Bolero,FOSA,2
Bolero,LLEVAREMOS,2
Bolero,VESTIDURA,2
Bolero,DICHA,1
Bolero,TESORO,1
Bolero,SOLO,1
Bolero,ENCANTO,2
Bolero,ILUSIóN,2
Bolero,VEN,1
Bolero,CALMAR,1
Bolero,MALES,1
Bolero,SEAS,1
Bolero,INCONSTANTE,1
Bolero,OLVIDES,1
Bolero,SUFRE,1
Bolero,LLORA,1
Bolero,DARé,1
Bolero,FE,1
Bolero,ILUSIONES,1
Bolero,TUYAS,1
Bolero,SON,1
Bolero,OLVIDARáS,1
Bolero,INFELIZ,1
Bolero,ADORó,1
Bolero,POBRE,1
Bolero,FUé,1
Bolero,MAYOR,1
Bolero,ANHELO,1
Bossa_Nova,CORAZóN,38
Bossa_Nova,DE,80
Bossa_Nova,MELóN,50
Bossa_Nova,LUNA,7
Bossa_Nova,DIME,4
Bossa_Nova,DESDE,2
Bossa_Nova,QUE,71
Bossa_Nova,LA,32
Bossa_Nova,CONOCí,1
Bossa_Nova,PARA,10
Bossa_Nova,PAPAP,2
Bossa_Nova,RARU,2
Bossa_Nova,ARAP,2
Bossa_Nova,NO,26
Bossa_Nova,HAGO,1
Bossa_Nova,YO,18
Bossa_Nova,MáS,21
Bossa_Nova,PENSAR,1
Bossa_Nova,PA,4
Bossa_Nova,PAP,2
Bossa_Nova,EN,26
Bossa_Nova,ELLOS,8
Bossa_Nova,Sí,2
Bossa_Nova,OY,3
Bossa_Nova,VAS,1
Bossa_Nova,POR,23
Bossa_Nova,Mí,6
Bossa_Nova,PUEDO,3
Bossa_Nova,YA,6
Bossa_Nova,VIVIR,2
Bossa_Nova,SIN,6
Bossa_Nova,SE,15
Bossa_Nova,ACABó,1
Bossa_Nova,EL,28
Bossa_Nova,POLLO,7
Bossa_Nova,CARLITOS,6
Bossa_Nova,SA,3
Bossa_Nova,ABROSITO,3
Bossa_Nova,BUENO,6
Bossa_Nova,ESTAS,6
Bossa_Nova,MIRALO,3
Bossa_Nova,GOZALO,3
Bossa_Nova,MIRA,3
Bossa_Nova,STE,1
Bossa_Nova,ES,38
Bossa_Nova,COSA,1
Bossa_Nova,SUENO,1
Bossa_Nova,REALIDAD,1
Bossa_Nova,TIENE,1
Bossa_Nova,TODO,2
Bossa_Nova,EMBRUJO,1
Bossa_Nova,CHA,6
Bossa_Nova,HA,3
Bossa_Nova,PORQUE,7
Bossa_Nova,PERO,5
Bossa_Nova,TE,33
Bossa_Nova,QUIERO,6
Bossa_Nova,CON,25
Bossa_Nova,UN,33
Bossa_Nova,AMOR,13
Bossa_Nova,LOCURA,3
Bossa_Nova,AUNQUE,11
Bossa_Nova,ME,26
Bossa_Nova,DES,2
Bossa_Nova,AMARGURA,2
Bossa_Nova,DEBO,2
Bossa_Nova,OLVIDARTE,2
Bossa_Nova,NUNCA,4
Bossa_Nova,SERAS,4
Bossa_Nova,MIO,2
Bossa_Nova,EMBARGO,2
Bossa_Nova,CADA,2
Bossa_Nova,DíA,6
Bossa_Nova,EMPEñO,2
Bossa_Nova,MAS,2
Bossa_Nova,ADORARTE,2
Bossa_Nova,ADORARE,4
Bossa_Nova,Tú,21
Bossa_Nova,SIEMPRE,7
Bossa_Nova,MI,23
Bossa_Nova,ANSIEDAD,2
Bossa_Nova,OLVIDARAS,5
Bossa_Nova,PASEANDO,2
Bossa_Nova,SOLEDAD,2
Bossa_Nova,PLAYA,2
Bossa_Nova,MARBELLA,2
Bossa_Nova,VI,4
Bossa_Nova,CARTAGENERA,13
Bossa_Nova,LUCIENDO,2
Bossa_Nova,TU,16
Bossa_Nova,PIEL,2
Bossa_Nova,MORENA,6
Bossa_Nova,TIBIAS,2
Bossa_Nova,NOCHES,4
Bossa_Nova,CUANDO,5
Bossa_Nova,BESA,2
Bossa_Nova,BRISA,2
Bossa_Nova,SIENTO,2
Bossa_Nova,CASCABEL,2
Bossa_Nova,RISA,2
Bossa_Nova,BOCA,2
Bossa_Nova,COMO,10
Bossa_Nova,GUAYABA,2
Bossa_Nova,MADURA,2
Bossa_Nova,TUS,9
Bossa_Nova,OJOS,4
Bossa_Nova,RECUERDO,4
Bossa_Nova,PERDURAN,2
Bossa_Nova,DORADA,4
Bossa_Nova,LUZ,4
Bossa_Nova,AY,11
Bossa_Nova,PERDURARá,1
Bossa_Nova,LUCES,3
Bossa_Nova,COLORES,2
Bossa_Nova,VISTE,2
Bossa_Nova,MAR,8
Bossa_Nova,HAY,5
Bossa_Nova,RISAS,2
Bossa_Nova,LAS,12
Bossa_Nova,CASITAS,2
Bossa_Nova,GIBRALTAR,2
Bossa_Nova,ESPAñA,2
Bossa_Nova,MOSTRó,2
Bossa_Nova,CAMINO,4
Bossa_Nova,VERDAD,2
Bossa_Nova,ESO,6
Bossa_Nova,LE,2
Bossa_Nova,ESTOY,4
Bossa_Nova,CANTANDO,2
Bossa_Nova,SU,3
Bossa_Nova,LIBERTAD,2
Bossa_Nova,GIBRALTAREñA,12
Bossa_Nova,FUERON,2
Bossa_Nova,MUCHAS,2
Bossa_Nova,SOñAMOS,2
Bossa_Nova,NUESTRO,2
Bossa_Nova,CRUZARE,1
Bossa_Nova,LINEA,2
Bossa_Nova,BESARTE,2
Bossa_Nova,JUNTO,2
Bossa_Nova,AL,2
Bossa_Nova,PEñóN,2
Bossa_Nova,OLE,24
Bossa_Nova,TI,6
Bossa_Nova,BRINDARé,1
Bossa_Nova,VIVIRé,2
Bossa_Nova,CRUZARé,1
Bossa_Nova,BRINDARE,1
Bossa_Nova,OH,14
Bossa_Nova,VIRGENCITA,6
Bossa_Nova,CAACUPE,2
Bossa_Nova,ERES,3
Bossa_Nova,BUENA,3
Bossa_Nova,OYE,3
Bossa_Nova,MIS,3
Bossa_Nova,RUEGOS,3
Bossa_Nova,VENGO,3
Bossa_Nova,PEDIRTE,3
Bossa_Nova,PERDONES,3
Bossa_Nova,MILAGROS,3
Bossa_Nova,LLEGUEN,3
Bossa_Nova,CARAVANA,1
Bossa_Nova,LOS,10
Bossa_Nova,PROMESEROS,1
Bossa_Nova,ASCIENDEN,1
Bossa_Nova,LOMA,1
Bossa_Nova,CAMPANAS,1
Bossa_Nova,BRONCE,1
Bossa_Nova,TOCANDO,1
Bossa_Nova,ORACIONES,1
Bossa_Nova,LLAMAN,1
Bossa_Nova,FIELES,1
Bossa_Nova,CANTO,1
Bossa_Nova,DULCE,1
Bossa_Nova,ÑEMBO,1
Bossa_Nova,SANTA,2
Bossa_Nova,SALMO,1
Bossa_Nova,LABIOS,1
Bossa_Nova,HASTA,1
Bossa_Nova,LLEGUé,1
Bossa_Nova,ALLí,1
Bossa_Nova,RODILLAS,1
Bossa_Nova,SANTUARIO,1
Bossa_Nova,FERVOR,1
Bossa_Nova,CREYENTE,2
Bossa_Nova,PEREGRINO,1
Bossa_Nova,TAMBIéN,1
Bossa_Nova,ORé,1
Bossa_Nova,CAUDAL,2
Bossa_Nova,HECHIZO,2
Bossa_Nova,TERNURA,3
Bossa_Nova,SON,2
Bossa_Nova,AZULES,2
Bossa_Nova,CIELO,2
Bossa_Nova,CUBRE,2
Bossa_Nova,SUELO,2
Bossa_Nova,DONDE,2
Bossa_Nova,NACí,2
Bossa_Nova,QUISIERON,1
Bossa_Nova,LLEVARTE,1
Bossa_Nova,MUY,1
Bossa_Nova,LEJOS,1
Bossa_Nova,MILAGRO,1
Bossa_Nova,DIJISTE,1
Bossa_Nova,TOVE,1
Bossa_Nova,ENTONCES,1
Bossa_Nova,CIEGO,1
Bossa_Nova,SINCERO,1
Bossa_Nova,PUEBLITO,1
Bossa_Nova,HUMILDE,1
Bossa_Nova,POSTRó,1
Bossa_Nova,PIES,1
Bossa_Nova,MISTERIO,1
Bossa_Nova,LEYENDA,1
Bossa_Nova,SACRA,1
Bossa_Nova,TIEMPO,1
Bossa_Nova,LEJANO,1
Bossa_Nova,VOLVER,1
Bossa_Nova,EVOCO,1
Bossa_Nova,IMAGEN,1
Bossa_Nova,RAZA,1
Bossa_Nova,ESTIRPE,1
Bossa_Nova,SERRANA,1
Bossa_Nova,INDIA,1
Bossa_Nova,CAACUPé,1
Bossa_Nova,SI,2
Bossa_Nova,LLAMAS,1
Bossa_Nova,BANCAS,1
Bossa_Nova,VOY,5
Bossa_Nova,DECIRTE,1
Bossa_Nova,TANTAS,1
Bossa_Nova,COSAS,2
Bossa_Nova,VOS,3
Bossa_Nova,JUGARíA,1
Bossa_Nova,SITUACIONES,1
Bossa_Nova,TAN,21
Bossa_Nova,PELIGROSAS,1
Bossa_Nova,ABUELAS,1
Bossa_Nova,BUSCANDO,2
Bossa_Nova,BEBéS,1
Bossa_Nova,BAJO,1
Bossa_Nova,NEóN,2
Bossa_Nova,ENCADENADO,1
Bossa_Nova,HABITACIóN,1
Bossa_Nova,ESPERANDO,1
Bossa_Nova,LLAMES,1
Bossa_Nova,TONTO,4
Bossa_Nova,PRIMER,1
Bossa_Nova,FáCIL,17
Bossa_Nova,ROMPER,17
Bossa_Nova,ALEJARáS,3
