Artista,Palabra,Cantidad
Real_de_catorce,QUIERE,2
Real_de_catorce,BORRAR,2
Real_de_catorce,ERAS,4
Real_de_catorce,Tú,6
Real_de_catorce,ERA,4
Real_de_catorce,SOL,3
Real_de_catorce,ESA,1
Real_de_catorce,GOTA,1
Real_de_catorce,MOJó,1
Real_de_catorce,TU,3
Real_de_catorce,PIEL,1
Real_de_catorce,ILUSIóN,1
Real_de_catorce,ME,4
Real_de_catorce,HA,1
Real_de_catorce,INUNDADO,1
Real_de_catorce,AMéN,1
Real_de_catorce,YO,1
Real_de_catorce,ANDABA,1
Real_de_catorce,ORILLA,1
Real_de_catorce,NADA,1
Real_de_catorce,HUYENDO,1
Real_de_catorce,DOLOR,1
Real_de_catorce,MUNDO,3
Real_de_catorce,HERIDA,1
Real_de_catorce,CONVENCIDA,1
Real_de_catorce,MISTERIO,1
Real_de_catorce,CONDENA,1
Real_de_catorce,NO,7
Real_de_catorce,AMAR,1
Real_de_catorce,JAMáS,1
Real_de_catorce,ESE,2
Real_de_catorce,RAYO,2
Real_de_catorce,EMANó,2
Real_de_catorce,TI,2
Real_de_catorce,VENENO,2
Real_de_catorce,AMOR,6
Real_de_catorce,CORRE,2
Real_de_catorce,DENTRO,2
Real_de_catorce,MI,5
Real_de_catorce,SER,2
Real_de_catorce,ARDIENDO,2
Real_de_catorce,GINEBRA,2
Real_de_catorce,TENDIDA,2
Real_de_catorce,ANOCHECER,2
Real_de_catorce,HORAS,4
Real_de_catorce,NUEVAS,2
Real_de_catorce,FRASES,2
Real_de_catorce,INCENDIADAS,2
Real_de_catorce,POR,6
Real_de_catorce,ALGO,2
Real_de_catorce,MáS,2
Real_de_catorce,PASIóN,2
Real_de_catorce,VIENDO,1
Real_de_catorce,AMANECER,1
Real_de_catorce,OYENDO,1
Real_de_catorce,MISMO,1
Real_de_catorce,ANTIGUA,1
Real_de_catorce,SOLEDAD,1
Real_de_catorce,BARES,1
Real_de_catorce,SIN,1
Real_de_catorce,EMBARGO,1
Real_de_catorce,ESTOY,1
Real_de_catorce,HIRIéNDOME,1
Real_de_catorce,CON,1
Real_de_catorce,FINAS,1
Real_de_catorce,NOTAS,1
Real_de_catorce,CUAL,1
Real_de_catorce,PUñALES,1
Real_de_catorce,MAL,2
Real_de_catorce,TENERTE,1
Real_de_catorce,Mí,2
Real_de_catorce,FUEGO,1
Real_de_catorce,QUEMó,1
Real_de_catorce,PORVENIR,1
Real_de_catorce,LARI,43
Real_de_catorce,EHH,1
Real_de_catorce,PASAN,2
Real_de_catorce,PUEDO,2
Real_de_catorce,OLVIDARLA,2
Real_de_catorce,BESé,2
Real_de_catorce,MANOS,2
Real_de_catorce,TOQUé,2
Real_de_catorce,CARNE,2
Real_de_catorce,BLANDA,2
Real_de_catorce,UñAS,2
Real_de_catorce,ROJAS,2
Real_de_catorce,RASGARON,2
Real_de_catorce,VIENTRE,2
Real_de_catorce,ALIENTO,2
Real_de_catorce,ALCOHOL,2
Real_de_catorce,EMBRIAGó,2
Real_de_catorce,MUJER,3
Real_de_catorce,SUCIA,3
Real_de_catorce,CABARET,3
Real_de_catorce,FINA,2
Real_de_catorce,LADRONA,3
Real_de_catorce,ESCúCHAME,3
Real_de_catorce,ESTA,9
Real_de_catorce,VERáS,3
Real_de_catorce,OTRO,3
Real_de_catorce,HOMBRE,3
Real_de_catorce,SUDARé,3
Real_de_catorce,CONTIGO,3
Real_de_catorce,DEJARé,3
Real_de_catorce,DIOS,3
Real_de_catorce,ATISBE,3
Real_de_catorce,CERRADURA,3
Real_de_catorce,APAGO,1
Real_de_catorce,SUEñO,1
Real_de_catorce,COMO,1
Real_de_catorce,VELA,1
Real_de_catorce,RUEDO,1
Real_de_catorce,CAMA,1
Real_de_catorce,AFUERA,1
Real_de_catorce,HAY,1
Real_de_catorce,LUNA,1
Real_de_catorce,LLENA,1
Real_de_catorce,ENTIENDO,1
Real_de_catorce,HAGA,1
Real_de_catorce,POLVO,1
Real_de_catorce,SUDA,1
Real_de_catorce,RELOJ,1
Real_de_catorce,PUNZA,1
Real_de_catorce,FIERA,1
Real_de_catorce,SOY,1
Real_de_catorce,NúMERO,1
Real_de_catorce,OCHENTA,1
Real_de_catorce,LARGA,1
Real_de_catorce,FILA,1
Real_de_catorce,AMANTES,1
Real_de_catorce,MUCHACHO,1
Real_de_catorce,SOLITARIO,1
Real_de_catorce,VECINO,1
Real_de_catorce,ENAMORADO,1
Real_de_catorce,NEGLIYé,1
Real_de_catorce,SEDA,1
Real_de_catorce,NEGRA,1
Guadalupe_Plata,BABY,52
Guadalupe_Plata,�BAAAAAAABY,3
Guadalupe_Plata,ME,3
Guadalupe_Plata,VUELVES,3
Guadalupe_Plata,LOCO,3
Guadalupe_Plata,JAUHG,1
Guadalupe_Plata,EN,9
Guadalupe_Plata,LA,12
Guadalupe_Plata,CALLE,2
Guadalupe_Plata,HA,2
Guadalupe_Plata,HABIDO,2
Guadalupe_Plata,UN,4
Guadalupe_Plata,ASESINATO,2
Guadalupe_Plata,UNA,2
Guadalupe_Plata,VIEJA,3
Guadalupe_Plata,MATA,2
Guadalupe_Plata,GATO,3
Guadalupe_Plata,CON,6
Guadalupe_Plata,PUNTA,2
Guadalupe_Plata,DEL,4
Guadalupe_Plata,ZAPATO,2
Guadalupe_Plata,POBRE,2
Guadalupe_Plata,NO,3
Guadalupe_Plata,SABíA,2
Guadalupe_Plata,QUE,7
Guadalupe_Plata,AMABA,2
Guadalupe_Plata,HASTA,2
Guadalupe_Plata,Ví,2
Guadalupe_Plata,ENTERRABAN,2
Guadalupe_Plata,MILANA,8
Guadalupe_Plata,BONITA,4
Guadalupe_Plata,PRECIOSA,4
Guadalupe_Plata,QUé,4
Guadalupe_Plata,HE,4
Guadalupe_Plata,SACADO,4
Guadalupe_Plata,LUNA,2
Guadalupe_Plata,AY,15
Guadalupe_Plata,LOS,4
Guadalupe_Plata,DOS,2
Guadalupe_Plata,MIRAMOS,1
Guadalupe_Plata,JUNTOS,1
Guadalupe_Plata,NOMBRES,2
Guadalupe_Plata,ESTAMPADOS,1
Guadalupe_Plata,EL,5
Guadalupe_Plata,MURO,2
Guadalupe_Plata,COMO,1
Guadalupe_Plata,CAMBIA,2
Guadalupe_Plata,CALENDARIO,1
Guadalupe_Plata,TODO,1
Guadalupe_Plata,ESTE,1
Guadalupe_Plata,MUNDO,1
Guadalupe_Plata,�AY,6
Guadalupe_Plata,SOMBRA,1
Guadalupe_Plata,AROMO,1
Guadalupe_Plata,POR,1
Guadalupe_Plata,TESTIGO,1
Guadalupe_Plata,CUATRO,1
Guadalupe_Plata,PIES,1
Guadalupe_Plata,MARCADOS,1
Guadalupe_Plata,ORILLA,1
Guadalupe_Plata,CAMINO,2
Guadalupe_Plata,QUERERTE,1
Guadalupe_Plata,CLAVELITO,1
Guadalupe_Plata,FLORECIDO,1
Guadalupe_Plata,AQUí,1
Guadalupe_Plata,ESTá,1
Guadalupe_Plata,MISMA,1
Guadalupe_Plata,PATIO,1
Guadalupe_Plata,BLANCO,1
Guadalupe_Plata,LIRIO,1
Guadalupe_Plata,TU,1
Guadalupe_Plata,RASTRO,1
Guadalupe_Plata,PERO,1
Guadalupe_Plata,Tú,1
Guadalupe_Plata,PALOMA,1
Guadalupe_Plata,INGRATA,1
Guadalupe_Plata,YA,1
Guadalupe_Plata,ARRULLAS,1
Guadalupe_Plata,MI,1
Guadalupe_Plata,NIDO,1
Juan_Gabriel,CUANDO,6
Juan_Gabriel,Tú,9
Juan_Gabriel,ESTáS,4
Juan_Gabriel,CONMIGO,5
Juan_Gabriel,ES,14
Juan_Gabriel,YO,33
Juan_Gabriel,DIGO,3
Juan_Gabriel,QUE,45
Juan_Gabriel,VALIó,2
Juan_Gabriel,LA,10
Juan_Gabriel,PENA,3
Juan_Gabriel,TODO,3
Juan_Gabriel,LO,4
Juan_Gabriel,HE,5
Juan_Gabriel,SUFRIDO,3
Juan_Gabriel,NO,19
Juan_Gabriel,Sé,2
Juan_Gabriel,SI,4
Juan_Gabriel,UN,2
Juan_Gabriel,SUEñO,1
Juan_Gabriel,AúN,1
Juan_Gabriel,UNA,2
Juan_Gabriel,REALIDAD,1
Juan_Gabriel,PERO,7
Juan_Gabriel,ESTOY,4
Juan_Gabriel,CONTIGO,2
Juan_Gabriel,ESTE,1
Juan_Gabriel,AMOR,17
Juan_Gabriel,SIENTO,2
Juan_Gabriel,PORQUE,5
Juan_Gabriel,HAS,3
Juan_Gabriel,MERECIDO,1
Juan_Gabriel,CON,7
Juan_Gabriel,DECIRTE,1
Juan_Gabriel,OTRA,2
Juan_Gabriel,VEZ,1
Juan_Gabriel,AMANECIDO,1
Juan_Gabriel,LLORANDO,1
Juan_Gabriel,DE,18
Juan_Gabriel,FELICIDAD,2
Juan_Gabriel,TU,8
Juan_Gabriel,LADO,2
Juan_Gabriel,VIVIENDO,2
Juan_Gabriel,NADA,2
Juan_Gabriel,COMO,6
Juan_Gabriel,AYER,4
Juan_Gabriel,ABRáZAME,14
Juan_Gabriel,EL,21
Juan_Gabriel,TIEMPO,12
Juan_Gabriel,PASA,3
Juan_Gabriel,éL,2
Juan_Gabriel,NUNCA,5
Juan_Gabriel,PERDONA,3
Juan_Gabriel,HA,2
Juan_Gabriel,HECHO,3
Juan_Gabriel,ESTRAGOS,2
Juan_Gabriel,EN,13
Juan_Gabriel,MI,10
Juan_Gabriel,GENTE,2
Juan_Gabriel,PERSONA,2
Juan_Gabriel,MALO,2
Juan_Gabriel,MUY,17
Juan_Gabriel,CRUEL,3
Juan_Gabriel,AMIGO,2
Juan_Gabriel,ORO,1
Juan_Gabriel,FUERTE,6
Juan_Gabriel,MáS,11
Juan_Gabriel,SIEMPRE,3
Juan_Gabriel,HOY,4
Juan_Gabriel,ESTá,1
Juan_Gabriel,PASANDO,1
Juan_Gabriel,DETENIDO,1
Juan_Gabriel,ASí,2
Juan_Gabriel,QUIERO,9
Juan_Gabriel,ESTAR,3
Juan_Gabriel,POR,14
Juan_Gabriel,APROVECHO,1
Juan_Gabriel,TE,16
Juan_Gabriel,DOY,3
Juan_Gabriel,GRACIAS,3
Juan_Gabriel,CADA,2
Juan_Gabriel,MOMENTO,1
Juan_Gabriel,VIVIR,1
Juan_Gabriel,MIRES,1
Juan_Gabriel,PARA,2
Juan_Gabriel,CIELO,2
Juan_Gabriel,ESTRELLA,1
Juan_Gabriel,APAREZCA,1
Juan_Gabriel,HIERE,1
Juan_Gabriel,TESTIGO,1
Juan_Gabriel,NADIE,1
Juan_Gabriel,QUIERE,1
Juan_Gabriel,ESO,6
Juan_Gabriel,MANTéNME,1
Juan_Gabriel,AGRADECERTE,1
Juan_Gabriel,ME,8
Juan_Gabriel,DADO,1
Juan_Gabriel,CORRESPONDERTE,1
Juan_Gabriel,FORMA,1
Juan_Gabriel,DIARIO,1
Juan_Gabriel,DEL,1
Juan_Gabriel,DOLOR,3
Juan_Gabriel,SIDO,1
Juan_Gabriel,PARTIDARIO,1
Juan_Gabriel,Mí,3
Juan_Gabriel,TOCó,1
Juan_Gabriel,SUFRIR,1
Juan_Gabriel,CONFIé,1
Juan_Gabriel,CREí,1
Juan_Gabriel,ALGUIEN,1
Juan_Gabriel,JURó,1
Juan_Gabriel,DABA,1
Juan_Gabriel,SU,1
Juan_Gabriel,VIDA,6
Juan_Gabriel,ESE,2
Juan_Gabriel,SE,3
Juan_Gabriel,DETIENE,1
Juan_Gabriel,CONTRA,1
Juan_Gabriel,VIENE,1
Juan_Gabriel,DIOS,3
Juan_Gabriel,NINGUNO,1
Juan_Gabriel,LE,1
Juan_Gabriel,IMPORTA,1
Juan_Gabriel,SABER,1
Juan_Gabriel,QUIéN,1
Juan_Gabriel,UNO,1
Juan_Gabriel,SABíA,3
Juan_Gabriel,TRISTEZAS,1
Juan_Gabriel,NI,2
Juan_Gabriel,LáGRIMAS,1
Juan_Gabriel,HICIERAN,1
Juan_Gabriel,LLORAR,1
Juan_Gabriel,CARICIAS,1
Juan_Gabriel,TERNURA,1
Juan_Gabriel,DESDE,2
Juan_Gabriel,PEQUEñO,1
Juan_Gabriel,ENSEñO,2
Juan_Gabriel,MAMá,2
Juan_Gabriel,MUCHAS,2
Juan_Gabriel,COSAS,4
Juan_Gabriel,JAMáS,9
Juan_Gabriel,SUFRí,3
Juan_Gabriel,LLORé,3
Juan_Gabriel,ERA,3
Juan_Gabriel,FELIZ,6
Juan_Gabriel,VIVíA,5
Juan_Gabriel,BIEN,2
Juan_Gabriel,TAN,1
Juan_Gabriel,DISTINTO,1
Juan_Gabriel,ALGO,2
Juan_Gabriel,HERMOSO,1
Juan_Gabriel,DIVINO,1
Juan_Gabriel,LLENO,1
Juan_Gabriel,ALEGRíAS,1
Juan_Gabriel,BELLEZA,1
Juan_Gabriel,SOLEDAD,4
Juan_Gabriel,HASTA,4
Juan_Gabriel,CONOCí,2
Juan_Gabriel,VI,2
Juan_Gabriel,MIENTO,2
Juan_Gabriel,FUI,2
Juan_Gabriel,AUNQUE,3
Juan_Gabriel,POCO,2
Juan_Gabriel,TARDE,3
Juan_Gabriel,COMPRENDí,2
Juan_Gabriel,DEBíA,2
Juan_Gabriel,AMAR,2
Juan_Gabriel,AHORA,3
Juan_Gabriel,PIENSO,2
Juan_Gabriel,TI,3
Juan_Gabriel,MUCHO,2
Juan_Gabriel,ENCONTRé,1
Juan_Gabriel,DIGAS,1
Juan_Gabriel,HABERTE,1
Juan_Gabriel,CONOCIDO,1
Juan_Gabriel,CREO,1
Juan_Gabriel,FUISTE,1
Juan_Gabriel,MALA,2
Juan_Gabriel,Sí,1
Juan_Gabriel,VER,2
Juan_Gabriel,VETE,7
Juan_Gabriel,TODAS,2
Juan_Gabriel,LAS,4
Juan_Gabriel,MAñANAS,2
Juan_Gabriel,ENTRA,2
Juan_Gabriel,VENTANA,2
Juan_Gabriel,SEñOR,4
Juan_Gabriel,SOL,4
Juan_Gabriel,OTRO,2
Juan_Gabriel,DíA,3
Juan_Gabriel,OTROS,2
Juan_Gabriel,DíAS,13
Juan_Gabriel,SEGUIRé,8
Juan_Gabriel,TRATANDO,8
Juan_Gabriel,SER,8
Juan_Gabriel,MEJOR,8
Juan_Gabriel,SONRIENDO,2
Juan_Gabriel,HARé,2
Juan_Gabriel,BUENOS,10
Juan_Gabriel,ALEGRíA,2
Juan_Gabriel,AL,2
Juan_Gabriel,�BUENOS,1
Juan_Gabriel,ERES,2
Juan_Gabriel,TRISTEZA,1
Juan_Gabriel,MIS,1
Juan_Gabriel,OJOS,1
Juan_Gabriel,LLORAN,1
Juan_Gabriel,SILENCIO,1
Juan_Gabriel,MIRO,1
Juan_Gabriel,ESPEJO,1
Juan_Gabriel,VEO,1
Juan_Gabriel,ROSTRO,1
Juan_Gabriel,ADIóS,1
Juan_Gabriel,OBLIGO,1
Juan_Gabriel,OLVIDO,1
Juan_Gabriel,PENSAMIENTO,1
Juan_Gabriel,PUES,1
Juan_Gabriel,PENSANDO,1
Juan_Gabriel,PREFIERO,1
Juan_Gabriel,DORMIDA,1
Juan_Gabriel,DESPIERTA,1
Juan_Gabriel,TANTO,2
Juan_Gabriel,DUELE,1
Juan_Gabriel,ESTéS,1
Juan_Gabriel,QUISERA,1
Juan_Gabriel,AY,1
Juan_Gabriel,VIVIERAS,1
Juan_Gabriel,TUS,1
Juan_Gabriel,OJITOS,1
Juan_Gabriel,JAMAS,1
Juan_Gabriel,HUBIERAN,1
Juan_Gabriel,CERRADO,1
Juan_Gabriel,MIRáNDOLOS,1
Juan_Gabriel,ETERNO,1
Juan_Gabriel,INOLVIDABLE,1
Juan_Gabriel,TEMPRANO,1
Juan_Gabriel,ESTARé,1
Juan_Gabriel,SEGIR,1
Juan_Gabriel,AMáNDOLOS,1
Juan_Gabriel,AUSENCIA,1
Juan_Gabriel,SOY,1
Juan_Gabriel,TENGO,2
Juan_Gabriel,TRANQUILA,1
Juan_Gabriel,CONCIENCIA,1
Juan_Gabriel,PUDE,1
Juan_Gabriel,HABER,1
Juan_Gabriel,MAS,1
Juan_Gabriel,OBSCURA,1
Juan_Gabriel,MISMA,1
Juan_Gabriel,SEPULCRO,1
Juan_Gabriel,CUAL,1
Juan_Gabriel,TRISTE,1
Juan_Gabriel,RECUERDO,1
Juan_Gabriel,ACAPULCO,1
Los_Panchos,UNE,3
Los_Panchos,TU,7
Los_Panchos,VOZ,6
Los_Panchos,MI,8
Los_Panchos,PARA,5
Los_Panchos,GRITAR,3
Los_Panchos,QUE,24
Los_Panchos,TRIUNFAMOS,3
Los_Panchos,EL,19
Los_Panchos,MUNDO,1
Los_Panchos,YA,5
Los_Panchos,SE,5
Los_Panchos,CANSó,1
Los_Panchos,AQUí,1
Los_Panchos,SEGUIMOS,1
Los_Panchos,LOS,1
Los_Panchos,DOS,1
Los_Panchos,SIN,5
Los_Panchos,RENUNCIAR,1
Los_Panchos,NI,1
Los_Panchos,OCULTARNOS,1
Los_Panchos,PORQUE,3
Los_Panchos,OCULTAR,1
Los_Panchos,NUESTRO,1
Los_Panchos,AMOR,12
Los_Panchos,ERA,1
Los_Panchos,TAPAR,1
Los_Panchos,CON,1
Los_Panchos,UN,3
Los_Panchos,DEDO,1
Los_Panchos,LA,8
Los_Panchos,LUZ,2
Los_Panchos,INMENSA,2
Los_Panchos,DEL,5
Los_Panchos,SOL,1
Los_Panchos,NEGAR,2
Los_Panchos,GRACIA,1
Los_Panchos,DE,11
Los_Panchos,DIOS,2
Los_Panchos,LO,1
Los_Panchos,BLANCO,1
Los_Panchos,ES,7
Los_Panchos,NEGRO,3
Los_Panchos,NADA,4
Los_Panchos,NOS,2
Los_Panchos,PUDO,2
Los_Panchos,SEPARAR,2
Los_Panchos,LUCHAMOS,2
Los_Panchos,CONTRA,2
Los_Panchos,TODA,2
Los_Panchos,INCOMPRENSIóN,2
Los_Panchos,CUENTO,2
Los_Panchos,NO,9
Los_Panchos,HAY,3
Los_Panchos,CONTAR,2
Los_Panchos,POR,3
Los_Panchos,FUERZA,2
Los_Panchos,VENCIMOS,2
Los_Panchos,SI,4
Los_Panchos,PECADO,2
Los_Panchos,CIELO,2
Los_Panchos,EXPLICACIóN,2
Los_Panchos,MANDATO,2
Los_Panchos,DIVINO,2
Los_Panchos,QUEDE,4
Los_Panchos,INFINITO,2
Los_Panchos,ESTRELLAS,2
Los_Panchos,PIERDA,2
Los_Panchos,ANCHO,2
Los_Panchos,MAR,2
Los_Panchos,SU,5
Los_Panchos,INMENSIDAD,2
Los_Panchos,PERO,2
Los_Panchos,TUS,3
Los_Panchos,OJOS,4
Los_Panchos,MUERA,2
Los_Panchos,CANELA,4
Los_Panchos,PIEL,4
Los_Panchos,IGUAL,3
Los_Panchos,PERDIERA,1
Los_Panchos,ARCOíRIS,1
Los_Panchos,BELLEZA,1
Los_Panchos,LAS,1
Los_Panchos,FLORES,1
Los_Panchos,PERFUME,1
Los_Panchos,COLOR,1
Los_Panchos,SERíA,1
Los_Panchos,TAN,2
Los_Panchos,TRISTEZA,1
Los_Panchos,COMO,2
Los_Panchos,AQUELLA,1
Los_Panchos,QUEDARME,1
Los_Panchos,ME,11
Los_Panchos,IMPORTAS,6
Los_Panchos,Tú,28
Los_Panchos,SOLAMENTE,2
Los_Panchos,NADIE,4
Los_Panchos,MáS,6
Los_Panchos,NEGROS,2
Los_Panchos,LLEGAN,2
Los_Panchos,DESESPERAR,2
Los_Panchos,ESTáS,1
Los_Panchos,LADO,1
Los_Panchos,CORAZóN,1
Los_Panchos,EN,2
Los_Panchos,ALMA,1
Los_Panchos,SóLO,1
Los_Panchos,TENGO,1
Los_Panchos,SOLEDAD,1
Los_Panchos,PUEDO,1
Los_Panchos,VERTE,1
Los_Panchos,QUé,2
Los_Panchos,HIZO,2
Los_Panchos,QUERERTE,1
Los_Panchos,HACERME,1
Los_Panchos,SUFRIR,1
Los_Panchos,SIEMPRE,1
Los_Panchos,FUISTE,1
Los_Panchos,RAZóN,1
Los_Panchos,EXISTIR,1
Los_Panchos,ADORARTE,1
Los_Panchos,FUE,1
Los_Panchos,RELIGIóN,1
Los_Panchos,BESOS,1
Los_Panchos,YO,1
Los_Panchos,ENCONTRABA,1
Los_Panchos,CALOR,1
Los_Panchos,BRINDABAN,1
Los_Panchos,PASIóN,1
Los_Panchos,HISTORIA,2
Los_Panchos,OTRA,1
Los_Panchos,COMPRENDER,1
Los_Panchos,TODO,2
Los_Panchos,BIEN,1
Los_Panchos,MAL,1
Los_Panchos,LE,1
Los_Panchos,DIó,1
Los_Panchos,VIDA,1
Los_Panchos,APAGáNDOLA,1
Los_Panchos,DESPUéS,1
Los_Panchos,AY,1
Los_Panchos,NOCHE,1
Los_Panchos,OSCURA,1
Los_Panchos,VIVIRé,1
Julio_jaramillo,NO,5
Julio_jaramillo,PUEDO,1
Julio_jaramillo,VERTE,1
Julio_jaramillo,TRISTE,1
Julio_jaramillo,PORQUE,3
Julio_jaramillo,ME,6
Julio_jaramillo,MATA,1
Julio_jaramillo,TU,11
Julio_jaramillo,CARITA,1
Julio_jaramillo,DE,18
Julio_jaramillo,PENA,1
Julio_jaramillo,MI,10
Julio_jaramillo,DULCE,1
Julio_jaramillo,AMOR,5
Julio_jaramillo,DUELE,1
Julio_jaramillo,TANTO,1
Julio_jaramillo,EL,10
Julio_jaramillo,LLANTO,2
Julio_jaramillo,QUE,20
Julio_jaramillo,Tú,9
